iter	Logloss
0	0.6926279662
1	0.6919859729
2	0.6913012137
3	0.6906244401
4	0.6903193969
5	0.6898034083
6	0.6891313994
7	0.6885343188
8	0.6882033326
9	0.6875189745
10	0.6867578645
11	0.6864458257
12	0.6857318548
13	0.6853339035
14	0.6849313493
15	0.6844245576
16	0.6836816892
17	0.6831012396
18	0.6825101135
19	0.6819178685
20	0.6815460752
21	0.6810533085
22	0.6805081086
23	0.6797291694
24	0.6792957814
25	0.6786914955
26	0.6781173857
27	0.6776283174
28	0.6771739611
29	0.6765397919
30	0.6760389077
31	0.6756165986
32	0.6750570935
33	0.6744526684
34	0.6740560377
35	0.6735700231
36	0.6731370166
37	0.672632262
38	0.672331026
39	0.6719170142
40	0.6713344266
41	0.6709195868
42	0.6704319011
43	0.670127908
44	0.6694861136
45	0.6690045268
46	0.6685492703
47	0.6680792432
48	0.6675139646
49	0.667170568
50	0.6667551292
51	0.6662287947
52	0.6657057458
53	0.6652426152
54	0.6645865824
55	0.6643159889
56	0.6640200152
57	0.6636580707
58	0.6632488148
59	0.6625991475
60	0.66210725
61	0.6618917062
62	0.6614760907
63	0.6609210415
64	0.6605054525
65	0.6600096435
66	0.6595625435
67	0.6592113077
68	0.658903906
69	0.6586467339
70	0.6583237242
71	0.6579131412
72	0.6574736834
73	0.6571342135
74	0.6565785349
75	0.6563658455
76	0.6559905578
77	0.6556407621
78	0.6549544794
79	0.6546917538
80	0.6538614663
81	0.6534593108
82	0.653230206
83	0.6528758255
84	0.6524355541
85	0.6519138548
86	0.6514964336
87	0.6512041407
88	0.6505080624
89	0.6500891777
90	0.6498338552
91	0.6494742498
92	0.6492241441
93	0.6487558669
94	0.648183104
95	0.6477321764
96	0.6472540237
97	0.6467372788
98	0.6462711015
99	0.6459458517
100	0.645667719
101	0.6453005828
102	0.6447908449
103	0.6444613818
104	0.6440460862
105	0.6436875422
106	0.6432795166
107	0.6427707847
108	0.6425073602
109	0.6419948427
110	0.6416028656
111	0.6414310854
112	0.640897645
113	0.6405061213
114	0.6402128903
115	0.639818492
116	0.6394724688
117	0.6392022817
118	0.6386881402
119	0.6381819831
120	0.637649475
121	0.6373074603
122	0.636895842
123	0.6364758655
124	0.6360866889
125	0.6358349216
126	0.635668143
127	0.6354565702
128	0.6350731263
129	0.6344620534
130	0.6341283696
131	0.6337111938
132	0.6333928488
133	0.632896862
134	0.6324787129
135	0.6322085996
136	0.6318624353
137	0.6315100528
138	0.6311183408
139	0.6307971716
140	0.6306137177
141	0.6303439447
142	0.6298886802
143	0.6294978308
144	0.6290184505
145	0.6285331853
146	0.6280973356
147	0.6277671098
148	0.6273874781
149	0.6271723063
150	0.6268341959
151	0.6266282853
152	0.6263094123
153	0.6258495204
154	0.6253973423
155	0.624887774
156	0.6246155443
157	0.6243659353
158	0.6239098875
159	0.6235567123
160	0.6231741963
161	0.6228113011
162	0.6224281801
163	0.6217990406
164	0.6214176032
165	0.6210719637
166	0.6207721109
167	0.6203351856
168	0.6198783795
169	0.6195276726
170	0.6192682535
171	0.6189828863
172	0.6186401625
173	0.6182991387
174	0.6178037237
175	0.6172611816
176	0.6167264308
177	0.6165322109
178	0.6161542841
179	0.6158860816
180	0.6155541654
181	0.6150255672
182	0.6148294737
183	0.6144499157
184	0.61398674
185	0.6135137199
186	0.6132024531
187	0.6130905887
188	0.6127001367
189	0.6123247186
190	0.61228149
191	0.6119238754
192	0.6115698066
193	0.6110300186
194	0.610722897
195	0.610282637
196	0.6097663075
197	0.609526871
198	0.6092634969
199	0.6087389167
200	0.6083857562
201	0.6081169381
202	0.6078697047
203	0.6074472252
204	0.6072805144
205	0.6071050872
206	0.6069302761
207	0.6063986917
208	0.6061204222
209	0.6058103485
210	0.605634524
211	0.6051129942
212	0.6048556944
213	0.6046818043
214	0.6042408484
215	0.6040148595
216	0.6037633304
217	0.6033620911
218	0.6029181716
219	0.6026401992
220	0.6023747275
221	0.6019049873
222	0.6014773573
223	0.6011360539
224	0.6007837052
225	0.60033698
226	0.5997971469
227	0.5994981376
228	0.599242409
229	0.5988876851
230	0.59842021
231	0.598003275
232	0.5977082851
233	0.597201091
234	0.5970301426
235	0.5965659376
236	0.596147371
237	0.5958752124
238	0.595553886
239	0.5951192193
240	0.5947205786
241	0.594423121
242	0.5941657667
243	0.593870458
244	0.593585295
245	0.5934168861
246	0.5930877351
247	0.5928256761
248	0.5925378615
249	0.5920725547
250	0.5917388237
251	0.5914097623
252	0.591151555
253	0.5908160795
254	0.5905375324
255	0.5903136851
256	0.5901134189
257	0.5898095
258	0.5893228775
259	0.5889986813
260	0.5886681257
261	0.5882983295
262	0.5880777607
263	0.5876288648
264	0.5872789942
265	0.5870666837
266	0.586744232
267	0.5863653537
268	0.585920413
269	0.5856454499
270	0.5852452475
271	0.5848406014
272	0.584532534
273	0.5843923357
274	0.5839312445
275	0.5836836825
276	0.583192384
277	0.5826739961
278	0.5823448341
279	0.5818386849
280	0.5815956229
281	0.5812794785
282	0.5808571448
283	0.5806873544
284	0.5804580209
285	0.5801356355
286	0.5799479183
287	0.5795888918
288	0.5792593833
289	0.5791558692
290	0.578854649
291	0.5784733855
292	0.5782850365
293	0.5779201655
294	0.5776227085
295	0.5775289604
296	0.5771220046
297	0.5768882744
298	0.5767552947
299	0.5763774972
300	0.5760443447
301	0.5757512743
302	0.5754630823
303	0.5751621548
304	0.5748770897
305	0.5745960146
306	0.574264215
307	0.5741379549
308	0.5737055978
309	0.5735728993
310	0.5733699316
311	0.5729851956
312	0.5726499223
313	0.5721172793
314	0.5719908624
315	0.5717251671
316	0.5714717282
317	0.5712392363
318	0.5709727324
319	0.5705827779
320	0.5703519967
321	0.5700961643
322	0.5697822186
323	0.5693342152
324	0.569063866
325	0.5688296899
326	0.5686295537
327	0.5682662168
328	0.5677656233
329	0.5673569035
330	0.5667904015
331	0.5665608423
332	0.5662667087
333	0.566009944
334	0.5658175747
335	0.5654495407
336	0.5652952902
337	0.5649033775
338	0.5645250788
339	0.5643291135
340	0.563972488
341	0.5637775824
342	0.5635041884
343	0.563186957
344	0.5629904225
345	0.5626812842
346	0.5624611667
347	0.5623321138
348	0.5620991105
