iter	Passed	Remaining
0	4	4352
1	8	4242
2	13	4510
3	18	4517
4	22	4572
5	27	4510
6	31	4416
7	35	4381
8	39	4369
9	43	4294
10	46	4224
11	50	4172
12	55	4179
13	59	4157
14	62	4116
15	66	4107
16	71	4106
17	75	4101
18	78	4070
19	82	4064
20	87	4060
21	90	4041
22	94	4019
23	98	4017
24	103	4040
25	107	4024
26	111	4003
27	115	3993
28	119	4004
29	129	4174
30	133	4163
31	137	4147
32	140	4128
33	144	4118
34	148	4106
35	153	4104
36	157	4089
37	160	4066
38	164	4056
39	168	4048
40	172	4036
41	176	4018
42	180	4009
43	184	4002
44	188	3990
45	191	3972
46	195	3968
47	200	3968
48	203	3954
49	207	3938
50	211	3928
51	215	3926
52	219	3924
53	223	3908
54	227	3902
55	231	3903
56	235	3896
57	238	3879
58	242	3862
59	246	3860
60	250	3853
61	254	3844
62	257	3835
63	262	3832
64	266	3829
65	270	3823
66	273	3812
67	278	3816
68	282	3814
69	286	3809
70	290	3802
71	295	3805
72	315	4000
73	337	4219
74	356	4401
75	363	4423
76	368	4421
77	374	4430
78	381	4443
79	387	4460
80	395	4483
81	401	4492
82	407	4504
83	414	4518
84	418	4505
85	422	4491
86	426	4479
87	430	4464
88	434	4447
89	438	4436
90	442	4423
91	447	4412
92	451	4401
93	455	4392
94	460	4382
95	463	4366
96	467	4348
97	471	4339
98	475	4329
99	479	4314
100	482	4299
101	487	4289
102	491	4282
103	495	4267
104	499	4253
105	503	4242
106	507	4235
107	511	4225
108	515	4211
109	519	4201
110	523	4191
111	527	4178
112	531	4168
113	535	4160
114	539	4151
115	543	4138
116	546	4125
117	550	4113
118	554	4102
119	558	4092
120	561	4080
121	565	4070
122	572	4078
123	578	4087
124	585	4100
125	590	4094
126	594	4086
127	599	4081
128	603	4075
129	607	4067
130	612	4060
131	616	4056
132	621	4050
133	625	4043
134	629	4036
135	634	4031
136	638	4024
137	642	4016
138	647	4009
139	651	4005
140	656	3997
141	660	3989
142	664	3984
143	669	3979
144	674	3974
145	678	3970
146	683	3968
147	688	3963
148	693	3959
149	698	3958
150	704	3963
151	711	3967
152	717	3971
153	723	3973
154	729	3975
155	736	3987
156	743	3992
157	750	4000
158	756	4000
159	762	4003
160	767	4000
161	772	3996
162	778	3995
163	783	3991
164	787	3985
165	792	3980
166	797	3975
167	801	3967
168	805	3961
169	810	3956
170	814	3948
171	818	3940
172	823	3937
173	827	3930
174	831	3921
175	835	3912
176	839	3905
177	844	3899
178	848	3893
179	852	3884
180	856	3876
181	860	3868
182	864	3860
183	868	3852
184	873	3847
185	878	3842
186	882	3837
187	886	3829
188	891	3824
189	895	3817
190	900	3812
191	904	3807
192	909	3804
193	914	3800
194	919	3794
195	923	3789
196	928	3784
197	932	3777
198	937	3772
199	941	3765
200	945	3758
201	949	3750
202	954	3746
203	959	3742
204	963	3735
205	967	3729
206	972	3725
207	976	3717
208	980	3709
209	985	3706
210	989	3701
211	993	3693
212	997	3686
213	1002	3682
214	1006	3675
215	1010	3669
216	1015	3664
217	1020	3660
218	1024	3653
219	1028	3646
220	1032	3640
221	1037	3636
222	1041	3630
223	1045	3622
224	1050	3618
225	1055	3613
226	1059	3607
227	1063	3602
228	1068	3595
229	1071	3588
230	1075	3581
231	1080	3576
232	1085	3573
233	1090	3568
234	1094	3563
235	1099	3560
236	1104	3556
237	1109	3551
238	1113	3545
239	1117	3539
240	1121	3532
241	1126	3528
242	1133	3530
243	1139	3529
244	1144	3525
245	1148	3519
246	1152	3514
247	1157	3510
248	1163	3509
249	1168	3504
250	1173	3502
251	1179	3501
252	1184	3497
253	1188	3491
254	1193	3487
255	1198	3482
256	1202	3477
257	1207	3471
258	1212	3467
259	1216	3462
260	1220	3455
261	1225	3452
262	1230	3448
263	1234	3442
264	1240	3439
265	1244	3433
266	1248	3427
267	1252	3421
268	1256	3415
269	1261	3411
270	1265	3404
271	1269	3397
272	1273	3391
273	1278	3386
274	1282	3380
275	1286	3374
276	1290	3369
277	1294	3362
278	1299	3357
279	1303	3351
280	1307	3346
281	1312	3341
282	1316	3335
283	1321	3331
284	1325	3326
285	1330	3320
286	1335	3317
287	1340	3313
288	1344	3308
289	1349	3303
290	1354	3299
291	1359	3296
292	1364	3293
293	1370	3291
294	1376	3289
295	1381	3285
296	1386	3282
297	1392	3279
298	1397	3276
299	1402	3273
300	1408	3269
301	1413	3266
302	1418	3262
303	1424	3260
304	1429	3256
305	1434	3254
306	1441	3254
307	1447	3252
308	1454	3253
309	1460	3250
310	1466	3249
311	1473	3249
312	1479	3247
313	1485	3244
314	1490	3240
315	1497	3241
316	1503	3239
317	1507	3234
318	1512	3228
319	1517	3224
320	1522	3220
321	1526	3214
322	1531	3210
323	1536	3206
324	1541	3201
325	1546	3197
326	1551	3192
327	1555	3186
328	1559	3180
329	1564	3175
330	1568	3170
331	1573	3165
332	1577	3159
333	1582	3155
334	1586	3149
335	1590	3143
336	1595	3138
337	1599	3133
338	1604	3127
339	1608	3122
340	1613	3118
341	1618	3113
342	1622	3107
343	1627	3102
344	1631	3097
345	1635	3091
346	1639	3084
347	1644	3080
348	1648	3075
349	1652	3069
350	1656	3063
351	1661	3058
352	1665	3052
353	1669	3047
354	1674	3042
355	1678	3036
356	1682	3030
357	1686	3024
358	1691	3019
359	1695	3013
360	1699	3007
361	1703	3001
362	1707	2996
363	1712	2991
364	1716	2985
365	1720	2980
366	1724	2974
367	1728	2969
368	1732	2962
369	1736	2957
370	1741	2953
371	1746	2948
372	1750	2943
373	1755	2939
374	1766	2944
375	1771	2940
376	1775	2934
377	1779	2928
378	1784	2923
379	1788	2918
380	1792	2912
381	1796	2906
382	1800	2900
383	1804	2895
384	1809	2890
385	1813	2884
386	1817	2878
387	1821	2873
388	1825	2867
389	1829	2861
390	1833	2855
391	1837	2850
392	1841	2844
393	1845	2838
394	1849	2832
395	1853	2827
396	1858	2822
397	1862	2816
398	1866	2811
399	1870	2806
400	1875	2802
401	1880	2796
402	1884	2792
403	1889	2786
404	1892	2780
405	1896	2775
406	1901	2770
407	1905	2765
408	1909	2758
409	1912	2752
410	1917	2748
411	1921	2742
412	1925	2737
413	1929	2731
414	1934	2726
415	1938	2721
416	1942	2715
417	1946	2709
418	1950	2704
419	1955	2699
420	1959	2694
421	1963	2689
422	1967	2684
423	1971	2678
424	1975	2673
425	1979	2667
426	1984	2662
427	1988	2656
428	1992	2651
429	1996	2646
430	2000	2641
431	2005	2636
432	2008	2630
433	2013	2625
434	2017	2620
435	2021	2615
436	2025	2609
437	2030	2605
438	2034	2599
439	2038	2594
440	2043	2590
441	2048	2585
442	2052	2580
443	2056	2575
444	2061	2570
445	2065	2565
446	2069	2560
447	2074	2555
448	2078	2551
449	2082	2545
450	2087	2540
451	2091	2535
452	2096	2531
453	2100	2525
454	2104	2520
455	2109	2516
456	2113	2510
457	2117	2505
458	2121	2500
459	2125	2495
460	2129	2489
461	2133	2484
462	2137	2478
463	2141	2474
464	2146	2469
465	2150	2463
466	2154	2458
467	2159	2454
468	2163	2449
469	2167	2443
470	2171	2438
471	2176	2434
472	2180	2429
473	2184	2424
474	2189	2419
475	2193	2414
476	2197	2409
477	2201	2404
478	2206	2400
479	2211	2395
480	2215	2390
481	2219	2385
482	2224	2381
483	2228	2375
484	2232	2370
485	2237	2366
486	2241	2361
487	2246	2356
488	2250	2351
489	2255	2347
490	2259	2342
491	2263	2337
492	2268	2332
493	2272	2327
494	2276	2322
495	2280	2317
496	2285	2313
497	2290	2308
498	2294	2303
499	2298	2298
500	2302	2293
501	2307	2288
502	2311	2283
503	2315	2278
504	2320	2274
505	2324	2269
506	2328	2264
507	2333	2260
508	2338	2255
509	2342	2250
510	2346	2245
511	2351	2240
